From: reid@decwrl.DEC.COM (Brian Reid)
Subject: USENET Readership report for Mar 95
Date: 1 Apr 1995 07:52:15 -0800
Organization: DEC Network Systems Laboratory
Message-ID: <LOC.3ljsrf$aeb@usenet.pa.dec.com>

This is the full set of data from the USENET readership report for Mar 95.
Explanations of the figures are in a companion posting.

        +-- Estimated total number of people who read the group, worldwide.
        |     +-- Actual number of readers in sampled population
        |     |     +-- Propagation: how many sites receive this group at all
        |     |     |      +-- Recent traffic (messages per month)
 668  43000   252   64%  1247     1.7    60%  0.03   0.4%  talk.politics.drugs 
 669  43000   245   66%  3863     7.8     2%  0.13   0.4%  soc.culture.italian 
 670  43000   244   67%  1076     1.0    76%  0.02   0.4%  soc.culture.europe 
 671  43000   240   68%  1776     2.5     3%  0.04   0.4%  comp.databases.xbase.fox 
 672  43000   238   69%   662     0.5    55%  0.01   0.4%  comp.os.os2.beta 
 673  43000   225   72%   210     0.3    60%  0.01   0.4%  rec.mag 
 674  43000   221   74%  1693     3.0     0%  0.06   0.4%  misc.emerg-services 
 675  43000   221   74%   500     0.7    10%  0.01   0.4%  gnu.gcc.help 
 676  43000   219   75%  1502     2.6     2%  0.05   0.4%  comp.sys.amiga.emulations 
 677  43000   219   74%    41     0.6     0%  0.01   0.4%  comp.binaries.apple2 
 678  43000   218   74%   198     0.3     9%  0.01   0.3%  comp.mail.mime 
 679  43000   216   75%   885     1.2     7%  0.02   0.3%  comp.sys.amiga.datacomm 
 680  43000   212   77%   167     0.5    45%  0.01   0.3%  comp.windows.x.intrinsics 
 681  43000   209   78%   195     0.3     3%  0.01   0.3%  comp.terminals 
 682  43000   206   80%   426     1.2     4%  0.02   0.3%  comp.unix.aux 
 683  42000   318   50%  1708     2.7     8%  0.04   0.5%  alt.computer.consultants 
 684  42000   306   52%  1423     1.7     8%  0.02   0.5%  alt.books.reviews 
 685  42000   301   53%  3144     4.7     3%  0.07   0.5%  alt.sys.pc-clone.gateway2000 
 686  42000   292   55%  2161     0.8    79%  0.01   0.5%  alt.evil 
 687  42000   290   56%  1543     2.1     6%  0.03   0.5%  alt.horror 
 688  42000   284   56%  1705     2.3     6%  0.03   0.5%  alt.fan.howard-stern 
 689  42000   284   56%    52     1.7     4%  0.03   0.5%  comp.os.linux.answers 
 690  42000   275   57%  1136     1.8    13%  0.03   0.4%  comp.os.linux.development.apps 
 691  42000   273   59%   243     1.2    25%  0.02   0.4%  alt.prose 
 692  42000   256   63%    49     0.1     2%  0.00   0.4%  alt.sources.amiga 
 693  42000   248   65%  4248     5.4    17%  0.09   0.4%  rec.music.makers.guitar 
 694  42000   242   65%   757     0.6    42%  0.01   0.4%  comp.os.ms-windows.networking.misc 
 695  42000   240   66%  4111     9.6     1%  0.17   0.4%  rec.games.frp.dnd 
 696  42000   239   67%   487     0.4    47%  0.01   0.4%  comp.publish.cdrom.software 
 697  42000   238   68%  1200     4.0     1%  0.07   0.4%  soc.religion.islam 
 698  42000   228   71%   137     0.3    16%  0.01   0.4%  sci.math.research 
 699  42000   226   71%   546     0.9    10%  0.02   0.4%  rec.video.cable-tv 
 700  42000   226   70%     -       -      -     -   0.4%  gnu.gcc.announce 
 701  42000   225   71%   375     0.3    43%  0.01   0.4%  rec.arts.sf.misc 
 702  42000   219   72%     1     0.0     0%  0.00   0.4%  comp.binaries.os2 
 703  42000   217   74%   282     0.5     6%  0.01   0.3%  comp.infosystems.wais 
 704  42000   217   73%   830     1.4     8%  0.03   0.3%  rec.games.trivia 
 705  42000   215   75%   158     0.2    33%  0.00   0.3%  comp.lsi.cad 
 706  42000   212   76%   671     1.1     7%  0.02   0.3%  comp.databases.ingres 
 707  42000   212   75%   429     0.3    78%  0.01   0.3%  sci.philosophy.tech 
 708  42000   210   76%   527     0.7     4%  0.01   0.3%  comp.sys.amiga.audio 
 709  42000   208   77%   170     0.4    22%  0.01   0.3%  comp.specification 
 710  42000   206   78%    86     0.2     6%  0.00   0.3%  comp.society.futures 
 711  42000   205   79%   190     0.2    48%  0.00   0.3%  comp.dcom.lans.fddi 
 712  42000   205   78%   136     0.3     8%  0.01   0.3%  comp.lang.objective-c 
 713  41000   420   37%   581     1.7    10%  0.02   0.7%  alt.sex.fetish.watersports 
 714  41000   410   37%  1191    28.3     6%  0.28   0.7%  alt.binaries.doom 
 715  41000   409   38%  2195    93.9     9%  0.95   0.7%  alt.binaries.sounds.movies 
 716  41000   371   42%   102     0.1     0%  0.00   0.6%  vmsnet.employment 
 717  41000   311   50%   142     0.1    32%  0.00   0.5%  comp.os.ms-windows.apps 
 718  41000   301   52%  3346    11.7     2%  0.16   0.5%  alt.chinese.text 
 719  41000   285   54%   527     0.6    45%  0.01   0.5%  alt.books.technical 
 720  41000   281   56%  1932     3.0    17%  0.04   0.4%  biz.comp.hardware 
 721  41000   275   57%   583     0.9     6%  0.01   0.4%  alt.sewing 
 722  41000   270   57%  2442     3.5     0%  0.05   0.4%  alt.kids-talk 
 723  41000   268   59%  1689     2.1     8%  0.03   0.4%  alt.fishing 
 724  41000   233   67%  1505     1.3    71%  0.02   0.4%  talk.politics.theory 
 725  41000   230   67%  4176     8.0     3%  0.14   0.4%  rec.games.frp.misc 
 726  41000   223   70%   153     0.2    66%  0.00   0.4%  soc.culture.misc 
 727  41000   223   69%   462     1.5     0%  0.03   0.4%  soc.feminism 
 728  41000   220   71%   643     0.8     5%  0.01   0.4%  rec.music.newage 
 729  41000   218   71%   780     1.3     3%  0.02   0.3%  rec.folk-dancing 
 730  41000   214   73%   552     0.7    49%  0.01   0.3%  sci.philosophy.meta 
 731  41000   214   72%     3     0.1     0%  0.00   0.3%  comp.ai.vision 
 732  41000   207   76%   695     1.2     1%  0.02   0.3%  comp.lang.rexx 
 733  41000   204   77%   141     0.2    11%  0.00   0.3%  comp.os.minix 
 734  41000   201   77%   557     0.8     7%  0.02   0.3%  comp.sys.ibm.ps2.hardware 
 735  41000   199   78%   208     0.3     7%  0.01   0.3%  comp.protocols.kerberos 
 736  41000   198   79%   178     0.3     2%  0.01   0.3%  comp.sys.att 
 737  41000   198   79%   110     0.0    68%  0.00   0.3%  comp.std.misc 
 738  40000   535   28%   971    27.1    10%  0.21   0.9%  alt.binaries.pictures.erotica.cartoons 
 739  40000   325   46%  5177     6.9    24%  0.09   0.5%  alt.business.misc 
 740  40000   288   53%  1404     1.6     5%  0.02   0.5%  alt.tv.seinfeld 
 741  40000   279   54%   865     1.3     6%  0.02   0.4%  alt.fan.douglas-adams 
 742  40000   271   56%   613     0.5    58%  0.01   0.4%  alt.folklore.college 
 743  40000   259   58%  2196     3.3    18%  0.05   0.4%  alt.rock-n-roll.metal 
 744  40000   258   58%  1546     2.6    12%  0.04   0.4%  comp.os.linux.development.system 
 745  40000   249   60%    37     0.3     0%  0.00   0.4%  rec.arts.startrek.reviews 
 746  40000   248   61%   692     0.7    34%  0.01   0.4%  rec.arts.tv.soaps 
 747  40000   242   63%  3261     5.5     6%  0.10   0.4%  misc.health.alternative 
 748  40000   241   63%   893     1.0    25%  0.02   0.4%  comp.sys.ibm.pc.soundcard.misc 
 749  40000   236   65%  2574    11.6     7%  0.21   0.4%  soc.culture.mexican 
 750  40000   232   65%   750     1.8    17%  0.03   0.4%  talk.rape 
 751  40000   231   66%  1839     2.2    13%  0.04   0.4%  comp.sys.mac.graphics 
 752  40000   229   67%     -       -      -     -   0.4%  news.groups.reviews 
 753  40000   228   66%   637     0.5    81%  0.01   0.4%  talk.politics.soviet 
 754  40000   227   68%   762     0.9     4%  0.02   0.4%  rec.crafts.misc 
 755  40000   226   67%  2090     3.3     3%  0.06   0.4%  rec.bicycles.racing 
 756  40000   226   67%   388     0.7     9%  0.01   0.4%  sci.fractals 
 757  40000   225   67%    85     0.3    50%  0.01   0.4%  rec.music.reviews 
 758  40000   224   67%  1872     3.1    10%  0.06   0.4%  soc.culture.new-zealand 
 759  40000   218   70%    61     0.1    14%  0.00   0.3%  comp.os.386bsd.bugs 
 760  40000   217   71%   481     0.8    16%  0.02   0.3%  comp.graphics.opengl 
 761  40000   214   70%  1811     2.4     5%  0.05   0.3%  comp.sys.mac.portables 
 762  40000   214   70%     -       -      -     -   0.3%  gnu.emacs.announce 
 763  40000   205   74%   156     0.8     1%  0.02   0.3%  gnu.gcc.bug 
 764  40000   203   75%   697     0.8    20%  0.02   0.3%  comp.unix.osf.osf1 
 765  40000   201   75%   438     0.7     8%  0.01   0.3%  comp.dcom.cell-relay 
 766  40000   201   75%   198     0.3     5%  0.01   0.3%  comp.protocols.snmp 
 767  40000   199   77%   272     0.4    19%  0.01   0.3%  comp.sys.handhelds 
 768  40000   196   77%   491     1.0     1%  0.02   0.3%  comp.text.sgml 
 769  39000   337   44%    12     0.0    83%  0.00   0.5%  alt.binaries.pictures.fine-art.d 
 770  39000   332   44%   702     1.3    13%  0.02   0.5%  bionet.jobs 
 771  39000   290   52%    33     0.1    13%  0.00   0.5%  alt.gopher 
 772  39000   286   51%   217     0.2    29%  0.00   0.5%  rec.pets.dogs 
 773  39000   282   53%   391     0.6    15%  0.01   0.5%  alt.backrubs 
 774  39000   270   55%   220     0.2    14%  0.00   0.4%  alt.emusic 
 775  39000   254   58%  1099     2.4     5%  0.04   0.4%  alt.tv.twin-peaks 
 776  39000   234   63%  1102     1.6    24%  0.03   0.4%  misc.invest.technical 
 777  39000   230   65%  3517     6.6     3%  0.12   0.4%  rec.skate 
 778  39000   228   65%  6711    11.4     3%  0.21   0.4%  rec.arts.comics.xbooks 
 779  39000   228   65%  5348    11.0    11%  0.20   0.4%  soc.culture.spain 
 780  39000   228   65%  3776     6.8     9%  0.12   0.4%  rec.aviation.military 
 781  39000   223   67%  1047     1.5    10%  0.03   0.4%  rec.bicycles.rides 
 782  39000   211   70%  2362     4.2     8%  0.08   0.3%  comp.unix.unixware 
 783  39000   207   71%  1560     1.8     2%  0.04   0.3%  rec.music.dementia 
 784  39000   206   72%  1571     3.1     0%  0.06   0.3%  rec.games.bridge 
 785  39000   202   74%  2241     3.7     3%  0.08   0.3%  comp.sys.acorn 
 786  39000   201   74%   252     0.2    53%  0.00   0.3%  comp.dcom.servers 
 787  39000   200   73%   348     0.7    10%  0.02   0.3%  gnu.g++.help 
 788  39000   198   75%    96     0.2    12%  0.00   0.3%  comp.graphics.avs 
 789  39000   196   75%    10     0.0    30%  0.00   0.3%  comp.ivideodisc 
 790  39000   193   78%   349     0.6     4%  0.01   0.3%  comp.lang.modula2 
 791  39000   191   78%   176     0.3     8%  0.01   0.3%  comp.os.msdos.desqview 
 792  38000   358   40%  4206     4.3    40%  0.05   0.6%  alt.sex.fetish.orientals 
 793  38000   273   53%   541     1.1     2%  0.02   0.4%  alt.archery 
 794  38000   264   55%  1855     2.2    16%  0.04   0.4%  rec.travel.misc 
 795  38000   261   55%  6931     1.2    95%  0.02   0.4%  alt.politics.correct 
 796  38000   258   56%   132     0.3     4%  0.01   0.4%  alt.co-ops 
 797  38000   255   57%     -       -      -     -   0.4%  soc.answers 
 798  38000   242   59%   853     1.1    34%  0.02   0.4%  alt.recovery 
 799  38000   233   62%  1033     2.1    14%  0.04   0.4%  misc.invest.canada 
 800  38000   218   66%   843     0.9    29%  0.02   0.3%  rec.games.mud.misc 
 801  38000   216   67%  2417     3.5     5%  0.07   0.3%  rec.models.railroad 
 802  38000   216   67%  1921     2.9     8%  0.06   0.3%  rec.aviation.misc 
 803  38000   213   68%  1225     2.4     3%  0.05   0.3%  rec.arts.dance 
 804  38000   211   69%   785     0.8    23%  0.02   0.3%  comp.sys.hp.hardware 
 805  38000   210   69%  1136     1.3    19%  0.03   0.3%  sci.engr.mech 
 806  38000   202   72%   123     7.3     0%  0.15   0.3%  comp.binaries.amiga 
 807  38000   201   71%  1331     1.9     2%  0.04   0.3%  rec.skydiving 
 808  38000   201   71%   521     0.6     7%  0.01   0.3%  comp.sys.apple2.marketplace 
 809  38000   200   72%    77     0.1     4%  0.00   0.3%  rec.humor.oracle.d 
 810  38000   199   72%   377     0.7     0%  0.01   0.3%  comp.graphics.gnuplot 
 811  38000   194   75%   208     0.3    32%  0.01   0.3%  sci.med.physics 
 812  38000   194   74%     -       -      -     -   0.3%  comp.doc 
 813  38000   193   76%    25     0.1    25%  0.00   0.3%  comp.org.sug 
 814  38000   193   76%     -       -      -     -   0.3%  comp.sources.reviewed 
 815  38000   191   76%     5     0.1    60%  0.00   0.3%  comp.org.eff.news 
 816  38000   191   75%    25     0.0    33%  0.00   0.3%  comp.lang.clos 
 817  38000   190   77%   148     0.3     0%  0.01   0.3%  comp.sys.3b1 
 818  38000   190   76%   769     1.2     7%  0.03   0.3%  comp.sys.mac.databases 
 819  38000   190   76%   468     0.6    11%  0.01   0.3%  comp.sys.tandy 
 820  38000   190   75%   307     0.8    17%  0.02   0.3%  comp.lang.vhdl 
 821  38000   183   80%   120     0.4     9%  0.01   0.3%  comp.org.decus 
 822  37000   372   38%  2448    24.5     4%  0.27   0.6%  alt.binaries.sounds.midi 
 823  37000   368   38%  3325   245.2     3%  2.80   0.6%  alt.binaries.sounds.tv 
 824  37000   356   39%  2353    88.0     3%  1.00   0.6%  alt.binaries.sounds.mods 
 825  37000   324   43%  1845     2.5     0%  0.03   0.5%  soc.genealogy.surnames 
 826  37000   259   54%  1748     2.4     2%  0.04   0.4%  alt.magic 
 827  37000   247   58%   795     1.3     1%  0.02   0.4%  rec.food.veg.cooking 
 828  37000   246   57%   532     0.7    14%  0.01   0.4%  alt.fan.dave_barry 
 829  37000   225   62%  1624     2.1    11%  0.04   0.4%  comp.sys.ibm.pc.soundcard.tech 
 830  37000   222   64%  1831     2.4    19%  0.05   0.4%  comp.os.os2.games 
 831  37000   219   65%  4485     7.5     5%  0.14   0.4%  soc.culture.filipino 
 832  37000   211   68%    19     0.0    44%  0.00   0.3%  rec.arts.sf.reviews 
 833  37000   206   68%   190     0.4     9%  0.01   0.3%  comp.ai.nat-lang 
 834  37000   204   70%   173     0.4    31%  0.01   0.3%  comp.os.msdos.mail-news 
 835  37000   204   69%   748     1.6    17%  0.03   0.3%  misc.int-property 
 836  37000   202   70%  1532     2.2    10%  0.05   0.3%  comp.os.os2.programmer.misc 
 837  37000   189   74%    10     0.4     0%  0.01   0.3%  comp.society.cu-digest 
 838  37000   185   76%    12     0.0    83%  0.00   0.3%  comp.bugs.4bsd 
 839  37000   185   76%     4     0.0     0%  0.00   0.3%  comp.bugs.sys5 
 840  37000   183   77%   375     0.6     2%  0.01   0.3%  comp.os.cpm 
 841  37000   182   77%   436     0.5    14%  0.01   0.3%  comp.sys.next.misc 
 842  37000   179   79%     1     0.0     0%  0.00   0.3%  comp.std.unix 
 843  37000   178   79%    86     0.1    52%  0.00   0.3%  comp.sys.dec.micro 
 844  37000   177   79%   135     0.2     3%  0.00   0.3%  comp.protocols.ibm 
 845  36000   388   35%   126     0.6    52%  0.01   0.6%  alt.sex.pictures.d 
 846  36000   387   35%   504     1.8    13%  0.02   0.6%  alt.sex.fetish.fashion 
 847  36000   288   48%   135     0.8     9%  0.01   0.5%  rec.games.computer.doom.announce 
 848  36000   281   49%   306     0.3    34%  0.00   0.4%  comp.sys.ibm.pc.hardware 
 849  36000   274   50%  1328     1.7    15%  0.03   0.4%  alt.shenanigans 
 850  36000   272   50%  2437     2.8     5%  0.04   0.4%  alt.tv.melrose-place 
 851  36000   260   52%  1494     0.3    91%  0.01   0.4%  alt.culture.usenet 
 852  36000   259   53%    60     0.1     2%  0.00   0.4%  alt.cobol 
 853  36000   258   53%   891     4.7    15%  0.08   0.4%  alt.zines 
 854  36000   229   60%   391     2.3    32%  0.04   0.4%  rec.arts.prose 
 855  36000   209   65%   526     0.8    13%  0.02   0.3%  comp.os.ms-windows.video 
 856  36000   206   67%  1387     2.4    10%  0.05   0.3%  soc.culture.polish 
 857  36000   205   67%   445     1.3    26%  0.03   0.3%  soc.college.gradinfo 
 858  36000   205   67%   418     0.6    13%  0.01   0.3%  comp.publish.cdrom.hardware 
 859  36000   205   66%   487     0.9    29%  0.02   0.3%  soc.college.grad 
 860  36000   204   67%   762     1.3    16%  0.03   0.3%  rec.bicycles.soc 
 861  36000   201   68%   347     1.2    42%  0.02   0.3%  rec.radio.info 
 862  36000   199   69%  1571     2.2     1%  0.05   0.3%  rec.windsurfing 
 863  36000   199   69%  1461     2.9     5%  0.06   0.3%  misc.invest.real-estate 
 864  36000   199   68%  1233     1.9     1%  0.04   0.3%  rec.radio.broadcasting 
 865  36000   199   68%   491     0.5    63%  0.01   0.3%  sci.cognitive 
 866  36000   198   69%     -       -      -     -   0.3%  gnu.g++.announce 
 867  36000   192   71%   193     0.2    52%  0.00   0.3%  comp.os.386bsd.misc 
 868  36000   191   71%   330     0.7     3%  0.01   0.3%  rec.arts.int-fiction 
 869  36000   189   73%   226     0.6     0%  0.01   0.3%  gnu.emacs.bug 
 870  36000   188   74%    98     0.1     3%  0.00   0.3%  comp.unix.dos-under-unix 
 871  36000   186   74%   167     0.3     7%  0.01   0.3%  gnu.emacs.gnus 
 872  36000   179   78%   215     0.5     0%  0.01   0.3%  comp.lang.apl 
 873  36000   179   76%     -       -      -     -   0.3%  comp.sources.sun 
 874  36000   178   77%  1099     1.8     2%  0.04   0.3%  comp.sys.atari.8bit 
 875  36000   178   77%    21     0.0    10%  0.00   0.3%  comp.society.folklore 
 876  36000   175   79%    27     0.1     4%  0.00   0.3%  comp.mail.mush 
 877  36000   175   77%   253     0.4     2%  0.01   0.3%  comp.sys.apollo 
 878  35000   332   40%  1277    11.5     4%  0.15   0.5%  alt.sex.fetish.feet 
 879  35000   297   45%  2345     3.2     8%  0.05   0.5%  soc.genealogy.misc 
 880  35000   277   48%    72     0.0    74%  0.00   0.4%  rec.autos.sport 
 881  35000   257   52%  4504     2.7    78%  0.04   0.4%  alt.politics.libertarian 
 882  35000   251   53%  4121     5.9    21%  0.10   0.4%  biz.misc 
 883  35000   245   54%   207     0.2    56%  0.00   0.4%  alt.cyberpunk.movement 
 884  35000   240   56%  2866     5.1    10%  0.09   0.4%  alt.rap 
 885  35000   232   57%  1152     1.8     7%  0.03   0.4%  alt.cad.autocad 
 886  35000   208   64%   994     1.6     3%  0.03   0.3%  rec.radio.amateur.antenna 
 887  35000   205   65%  1058     1.3     5%  0.03   0.3%  rec.radio.amateur.equipment 
 888  35000   204   65%   645     0.9     7%  0.02   0.3%  rec.radio.amateur.digital.misc 
 889  35000   204   65%   620     1.0    21%  0.02   0.3%  sci.space.tech 
 890  35000   202   66%  1496     3.2     0%  0.07   0.3%  rec.hunting 
 891  35000   201   65%   769     1.0     5%  0.02   0.3%  rec.aviation.simulators 
 892  35000   198   66%  1601     2.1    11%  0.04   0.3%  comp.os.ms-windows.apps.word-proc 
 893  35000   194   69%   378     0.7     5%  0.02   0.3%  comp.speech 
 894  35000   194   68%   285     0.5    15%  0.01   0.3%  sci.research.careers 
 895  35000   193   69%   445     0.3    51%  0.01   0.3%  comp.sys.hp.misc 
 896  35000   192   70%    50     0.2    21%  0.00   0.3%  rec.arts.sf.announce 
 897  35000   191   70%   754     0.9    18%  0.02   0.3%  comp.os.386bsd.questions 
 898  35000   189   71%   860     2.0    27%  0.05   0.3%  comp.sys.sgi.misc 
 899  35000   188   70%  1986     3.5     1%  0.08   0.3%  rec.games.pinball 
 900  35000   185   73%   808     1.5    17%  0.04   0.3%  sci.geo.meteorology 
 901  35000   184   72%  1427     2.1    12%  0.05   0.3%  comp.sys.sgi.admin 
 902  35000   183   73%    96     0.1    12%  0.00   0.3%  gnu.chess 
 903  35000   181   74%   181     0.3    23%  0.01   0.3%  comp.sys.super 
 904  35000   181   73%   453     1.9     2%  0.04   0.3%  rec.games.pbm 
 905  35000   180   74%   106     0.3     0%  0.01   0.3%  sci.nanotech 
 906  35000   179   75%     6     0.0     0%  0.00   0.3%  comp.sources.hp48 
 907  35000   177   75%   141     0.7     0%  0.02   0.3%  comp.sys.next.announce 
 908  35000   175   75%    15     0.6     0%  0.01   0.3%  comp.sources.amiga 
 909  35000   172   77%   143     0.3     1%  0.01   0.3%  comp.os.os9 
 910  35000   171   77%    52     0.1    12%  0.00   0.3%  comp.sys.mips 
 911  34000   314   41%  1832     1.6    23%  0.02   0.5%  alt.personals.bi 
 912  34000   296   44%     -       -      -     -   0.5%  alt.binaries.pictures.fine-art.graphics 
 913  34000   264   48%  1376     1.9     9%  0.03   0.4%  alt.tv.babylon-5 
 914  34000   257   51%  1905     2.2     7%  0.04   0.4%  alt.tv.bh90210 
 915  34000   246   52%  2297     3.3    11%  0.06   0.4%  alt.comedy.british 
 916  34000   243   53%  3252     5.1     7%  0.09   0.4%  alt.music.progressive 
 917  34000   241   53%  2327     2.2    24%  0.04   0.4%  misc.forsale.non-computer 
 918  34000   240   54%  1103     0.9    81%  0.02   0.4%  alt.society.civil-liberty 
 919  34000   233   55%   847     1.4    12%  0.03   0.4%  biz.comp.software 
 920  34000   233   55%   453     0.5    15%  0.01   0.4%  alt.cad 
 921  34000   230   57%   148     0.1    27%  0.00   0.4%  alt.sys.sun 
 922  34000   220   59%  2014     2.0    12%  0.04   0.4%  comp.sys.ibm.pc.games.marketplace 
 923  34000   215   60%  1826     3.6    18%  0.07   0.3%  rec.autos.marketplace 
 924  34000   202   65%   672     0.5    44%  0.01   0.3%  comp.os.ms-windows.programmer.multimedia 
 925  34000   201   65%   654     0.8    13%  0.02   0.3%  comp.os.ms-windows.programmer.graphics 
 926  34000   200   65%  1834     2.9     5%  0.06   0.3%  rec.games.mud.diku 
 927  34000   197   65%  4056     5.8     7%  0.12   0.3%  comp.os.os2.networking.tcp-ip 
 928  34000   193   66%     -       -      -     -   0.3%  comp.infosystems.announce 
 929  34000   189   69%  1153     2.4    22%  0.05   0.3%  rec.arts.sf.marketplace 
 930  34000   186   69%  1851     2.2    12%  0.05   0.3%  rec.video.production 
 931  34000   185   70%  1751     3.1     3%  0.07   0.3%  rec.models.rockets 
 932  34000   184   70%   108     0.1    69%  0.00   0.3%  comp.os.386bsd.development 
 933  34000   184   70%    81     0.1    11%  0.00   0.3%  comp.unix.user-friendly 
 934  34000   181   71%   201     0.3    15%  0.01   0.3%  comp.cad.cadence 
 935  34000   178   73%   144     0.4     1%  0.01   0.3%  comp.society.privacy 
 936  34000   177   73%   140     0.2    30%  0.01   0.3%  rec.radio.noncomm 
 937  34000   176   74%   208     0.6     9%  0.01   0.3%  comp.sys.amiga.introduction 
 938  34000   172   76%   612     1.2     3%  0.03   0.3%  comp.text.frame 
 939  34000   171   76%   140     0.4     9%  0.01   0.3%  comp.protocols.time.ntp 
 940  34000   170   76%   560     0.7    23%  0.02   0.3%  comp.sys.next.sysadmin 
 941  34000   168   77%   121     0.2     1%  0.01   0.3%  comp.sys.transputer 
 942  34000   165   78%   124     0.2     0%  0.01   0.3%  comp.sys.ibm.pc.rt 
 943  33000   283   44%     1     0.0     0%  0.00   0.5%  alt.binaries.pictures.fine-art.digitized 
 944  33000   264   48%  1065     1.5     3%  0.02   0.4%  alt.aldus.pagemaker 
 945  33000   251   51%  1397     1.6    49%  0.03   0.4%  alt.satanism 
 946  33000   240   53%   487     0.6     1%  0.01   0.4%  alt.locksmithing 
 947  33000   239   53%  1065     1.6     1%  0.03   0.4%  alt.tv.northern-exp 
 948  33000   236   53%  2691     5.1     9%  0.09   0.4%  alt.rave 
 949  33000   234   54%  2811     4.7     1%  0.08   0.4%  alt.tv.animaniacs 
 950  33000   224   56%  1901     2.0    53%  0.04   0.4%  comp.os.linux.advocacy 
 951  33000   221   57%   581     1.0     1%  0.02   0.4%  alt.tv.prisoner 
 952  33000   220   56%   901     1.7    19%  0.03   0.4%  alt.native 
 953  33000   204   62%  2532     2.6    12%  0.05   0.3%  rec.music.makers.marketplace 
 954  33000   194   65%   658     0.7    33%  0.02   0.3%  rec.games.mud.admin 
 955  33000   192   65%   442     0.5    16%  0.01   0.3%  comp.os.ms-windows.programmer.drivers 
 956  33000   191   66%  2976     5.7     7%  0.12   0.3%  soc.culture.thai 
 957  33000   190   66%   171     1.9    22%  0.04   0.3%  rec.arts.comics.info 
 958  33000   190   65%  1110     1.4    17%  0.03   0.3%  rec.outdoors.fishing 
 959  33000   188   66%   229     0.1    63%  0.00   0.3%  soc.culture.asean 
 960  33000   186   68%   162     0.2     5%  0.01   0.3%  rec.music.video 
 961  33000   182   69%   605     0.8    27%  0.02   0.3%  rec.arts.sf.science 
 962  33000   181   70%   395     0.6     2%  0.01   0.3%  comp.os.msdos.4dos 
 963  33000   181   69%   698     1.0    34%  0.02   0.3%  comp.unix.advocacy 
 964  33000   180   69%  1137     1.4    26%  0.03   0.3%  rec.arts.sf.fandom 
 965  33000   179   70%  1526    11.3     0%  0.26   0.3%  misc.activism.progressive 
 966  33000   175   72%    21     0.1    10%  0.00   0.3%  comp.sources.testers 
 967  33000   175   71%   600     0.8    22%  0.02   0.3%  comp.sys.sgi.graphics 
 968  33000   173   74%   139     0.2     0%  0.00   0.3%  gnu.ghostscript.bug 
 969  33000   173   74%   129     0.3     5%  0.01   0.3%  comp.theory.cell-automata 
 970  33000   169   75%   102     0.1    63%  0.00   0.3%  comp.unix.cray 
 971  33000   166   75%   105     0.1     6%  0.00   0.3%  comp.sys.amiga.multimedia 
 972  33000   164   77%   229     0.3    11%  0.01   0.3%  comp.sys.ncr 
 973  33000   164   76%   261     0.6     1%  0.01   0.3%  comp.lang.idl-pvwave 
 974  33000   164   76%    75     0.1     4%  0.00   0.3%  comp.sys.sequent 
 975  33000   160   79%   506     0.7     5%  0.02   0.3%  comp.unix.amiga 
 976  32960   179   70%   341     0.5     6%  0.01   0.3%  comp.cad.pro-engineer 
 977  32000   420   29%   606     0.5    67%  0.01   0.7%  alt.sex.intergen 
 978  32000   404   30%  1209     3.2    14%  0.03   0.6%  alt.sex.femdom 
 979  32000   387   31%  1044    32.7     3%  0.35   0.6%  alt.binaries.pictures.anime 
 980  32000   318   39%  1852    20.9     1%  0.28   0.5%  alt.binaries.clip-art 
 981  32000   315   38%   619     5.2     9%  0.07   0.5%  alt.binaries.sounds.utilities 
 982  32000   296   41%  2507     3.0     3%  0.04   0.5%  alt.genealogy 
 983  32000   253   48%  2371     5.9     0%  0.10   0.4%  alt.books.anne-rice 
 984  32000   251   48%   696     0.6    54%  0.01   0.4%  alt.wired 
 985  32000   250   49%   130     0.1    32%  0.00   0.4%  rec.photo 
 986  32000   218   56%  1297     1.7    33%  0.03   0.3%  alt.folklore.science 
 987  32000   218   55%   130     0.8    10%  0.01   0.3%  alt.cyberpunk.chatsubo 
 988  32000   217   56%   912     1.0    38%  0.02   0.3%  alt.paranormal 
 989  32000   213   58%  4363     6.7     3%  0.13   0.3%  comp.lang.basic.visual.misc 
 990  32000   212   57%   399     0.9     2%  0.02   0.3%  comp.emacs.xemacs 
 991  32000   192   64%  1421     1.8    13%  0.04   0.3%  rec.music.makers.bass 
 992  32000   191   63%   503     0.7     4%  0.02   0.3%  misc.kids.computer 
 993  32000   189   64%  1197     1.7    20%  0.04   0.3%  rec.games.video.misc 
 994  32000   188   64%  1738     4.0     9%  0.09   0.3%  soc.culture.brazil 
 995  32000   184   67%  1958     2.9     2%  0.07   0.3%  comp.databases.paradox 
 996  32000   183   67%  2285     3.6     2%  0.08   0.3%  rec.pets.birds 
 997  32000   183   67%  1101     2.7     1%  0.06   0.3%  rec.sport.volleyball 
 998  32000   183   67%   398     0.8    14%  0.02   0.3%  comp.software.testing 
 999  32000   182   66%   276     0.4     2%  0.01   0.3%  rec.food.historic 
1000  32000   180   67%   877     1.3     5%  0.03   0.3%  rec.arts.comics.strips 
